;stodisplaydesc;stoanabelkey;real;max_round;min_round;avg_round;max;min;avg
79;JASSANS RIOTTIER;8026;7;11;8;9;10.51;7.94;9.35
80;JEUMONT;7786;7;8;6;7;8.12;6.39;7.18
81;JONAGE;8027;9;12;5;11;11.96;5.37;11.0
82;JOUY LE MOUTIER;7787;6;11;8;10;10.8;8.24;9.68
83;JUSSEY;8308;6;7;5;6;6.61;5.45;6.07
84;LA FLECHE -MOLANS;7609;8;11;8;10;11.38;8.37;9.97
85;LAGNIEU;8028;11;13;10;12;13.45;10.36;12.11
86;LAMORLAYE;7865;15;16;12;14;16.03;12.43;14.41
87;LAMOTTE BEUVRON;7688;8;10;7;9;10.12;7.2;8.92
88;LANDRECIES;7788;8;8;6;7;8.01;6.35;7.17
89;LANNEMEZAN;8547;11;13;10;12;13.27;9.99;11.69
90;LAPALISSE;7689;9;8;7;8;8.49;6.72;7.58
91;LE CRES -JACOU;7996;8;13;10;11;12.91;9.64;11.05
92;LE HAVRE -SANVIC;7862;11;10;7;9;9.98;6.56;8.67
93;LE HAVRE -VALLEE;7531;8;13;10;12;13.43;9.75;11.75
94;LE MANS -MAILLETS;8137;9;12;8;10;11.52;8.23;10.16
95;LE MESNIL ESNARD;8143;13;15;11;13;14.98;11.44;13.29
96;LE PONTEL;7902;8;11;9;10;10.85;8.9;9.81
97;LE PRE ST GERVAIS;7903;18;14;10;12;14.48;9.56;12.35
98;LE PT QUEVILLY -JAUR;8153;7;8;6;7;8.04;5.79;7.1
99;LENS -ZOLA;7959;4;6;5;5;6.23;4.79;5.37
100;LEON;8610;13;11;9;10;10.65;8.61;9.55
101;LES ANDELYS;7546;5;10;8;9;10.18;8.18;9.32
102;LEZOUX;7690;11;13;11;12;13.0;10.79;11.78
103;LIGNY EN BARROIS;7822;10;9;8;9;9.31;7.78;8.57
104;LILLE -GAMBETTA;7960;11;14;10;13;14.49;10.22;12.69
105;LILLE -LA MADELEINE;7961;13;13;9;11;12.71;9.06;11.22
106;LILLERS -DEKEISER;7868;8;14;10;12;14.27;10.31;12.15
107;LISLET;7797;6;6;5;6;6.3;5.05;5.72
108;LOUHANS;8031;10;10;8;10;10.36;8.3;9.6
109;LUZARCHES;7792;9;12;10;11;12.11;10.0;11.06
110;MANOM;7875;11;15;12;14;14.65;12.32;13.69
111;MARLY LE ROI -TERRES;7794;16;12;9;11;12.36;9.0;10.75
112;MELUN -GAILLARDON;7761;10;10;8;9;10.48;8.2;9.12
113;MERCIN ET VAUX;7614;12;13;10;12;12.72;10.2;11.53
114;MEXIMIEUX;8032;17;16;12;14;15.75;11.9;13.94
115;MEYZIEU;8033;9;14;10;12;13.7;10.31;12.24
116;MEZE;7998;8;11;9;10;10.57;8.67;9.56
117;MEZIERES S/SEINE;7588;10;12;10;11;11.67;10.07;10.91
118;MIRECOURT;7880;10;11;9;10;11.04;9.42;10.22
119;MIRIBEL;8034;6;10;8;9;10.18;7.53;9.03
120;MONTPELLIER -JUSTICE;8000;9;12;8;10;12.01;8.06;10.4
121;MONTREUIL -C DE VILL;8980;9;13;8;10;13.32;7.97;10.31
122;MONTROND LES BAINS;8040;8;10;8;9;10.23;7.85;9.28
123;MORANGIS;7881;13;16;12;14;16.35;11.81;14.36
124;MOREUIL;8182;10;11;9;10;11.21;9.38;10.4
125;MORTAIN;8093;7;8;6;7;7.84;6.42;7.21
126;MULSANNE;8146;7;11;8;10;10.77;8.04;9.58
127;NANGIS;7883;10;12;10;11;12.46;9.89;11.19
128;NANTEUIL LES M -FOUL;8669;18;19;15;17;19.19;14.59;16.99
129;PAVILLY;7894;10;11;9;9;10.71;8.56;9.37
130;PERIERS -CARENTAN;8074;10;9;7;8;8.71;6.74;7.6
131;PERTUIS;7634;18;20;15;18;19.93;14.93;17.57
132;PEYREHORADE -BAYONNE;8462;10;11;8;9;10.83;7.81;9.38
133;PIBRAC;7732;10;14;10;12;14.12;10.42;12.11
134;PIERRELATTE;7895;11;12;10;12;12.38;10.48;11.5
135;PLOEMEUR -BRETAGNE;7718;10;12;8;10;11.54;8.17;10.2
136;PLUNERET -KERFONTAIN;7897;12;15;11;14;15.27;11.43;13.79
137;POIX DE PICARDIE;7898;10;12;9;10;11.57;9.32;10.4
138;PONT AUDEMER -LION;8632;13;16;12;14;15.59;12.04;14.0
139;PONTAULT COMBAULT;7901;5;9;7;8;9.17;7.14;8.38
140;PORNICHET;8095;8;12;10;11;12.27;9.54;11.16
141;PUISEUX PONTOISE;7928;16;13;11;12;13.26;11.0;12.15
142;QUIEVRECHAIN;7534;9;8;7;7;7.86;6.5;7.14
143;RAILLENCOURT;7988;7;9;7;8;9.33;7.01;8.32
144;REIMS -GAMBETTA;7762;6;10;7;9;9.86;7.0;8.68
145;RENNES -B L'EVEQUE;7440;9;8;6;7;8.37;5.87;7.36
146;RENNES -VILLEJEAN;8100;12;11;7;9;11.31;6.75;9.2
147;RIORGES;8048;8;9;7;8;8.88;6.74;7.83
148;RIVE DE GIER;8049;10;11;9;10;11.16;8.59;9.87
149;RIVES S/FURES;8050;8;10;9;9;10.28;8.6;9.48
150;ROUVROY;7905;10;13;10;12;12.54;10.09;11.51
151;RUE MOULINS;7989;8;11;9;10;11.05;9.05;10.3
152;RUEIL MALM -COLMAR;7567;12;11;8;9;10.57;8.0;9.12
153;SANCERRE;7746;10;9;7;8;8.8;7.05;8.03
154;SARLAT -BRIVE;7758;20;19;16;18;19.01;16.42;17.91
155;SASSENAGE;7759;9;9;7;8;8.54;6.9;7.66
156;SCIONZIER -LACS 161;8053;10;10;8;9;9.94;7.76;8.76
157;SETE;7604;5;12;9;11;12.12;9.42;10.99
158;SORBIERS;8054;9;14;11;13;13.84;10.83;12.6
159;SOTTEVILLE LES ROUEN;7517;10;11;8;10;11.09;7.58;9.75
160;ST AMAND -2;7740;10;14;11;12;13.65;10.77;12.31
161;ST AMBROIX;7907;10;13;11;12;12.94;11.01;11.81
162;ST CALAIS -PRESSOIR;8954;6;9;7;8;9.11;7.12;8.21
163;ST FONS;8057;6;9;6;7;8.5;6.09;7.39
164;ST GERMAIN EN LAYE;7808;5;9;6;8;8.9;5.94;7.57
165;ST GERMAIN PUY -FENE;7611;12;13;10;12;13.26;10.04;11.89
166;ST JEAN PIED DE PORT;8457;8;11;10;11;11.43;10.01;10.76
167;ST MAUR DES F -DELER;7909;12;13;9;11;12.64;8.96;10.57
168;ST NAZAIRE -VILLEPOR;8103;9;13;9;11;12.66;8.96;10.87
169;ST PIERRE LES NEMOUR;7810;11;12;10;11;12.14;10.28;11.26
170;ST POURCAIN S/SIOULE;7752;15;13;10;11;13.09;9.97;11.47
171;ST YORRE;7753;9;9;7;8;8.55;7.12;7.95
172;TAVERNY;7636;6;11;8;10;10.86;8.32;9.78
173;THIMERT GATELLES;8160;11;11;10;11;11.49;9.67;10.76
174;THIONVILLE;8945;7;10;6;8;9.61;6.17;7.55
175;TOULOUSE -COMPANS;7524;14;16;9;12;15.87;8.93;12.29
176;TOULOUSE -L'HERS;8397;12;12;9;10;12.03;8.84;10.21
177;TOULOUSE -LOMBEZ;7914;10;12;8;10;11.77;8.19;10.02
178;TOULOUSE -ST MICH 11;7931;10;11;7;9;11.27;7.25;9.25
179;TOURCOING;7723;6;8;6;7;8.39;5.95;7.45
180;TOURNEFEUILLE;7733;14;16;12;14;16.48;11.71;14.28
181;TOURNUS -RESISTANCE;7930;9;11;8;10;10.54;7.73;9.52
182;TRETS;8469;12;13;10;11;13.21;9.58;11.13
183;TREVOUX;8064;12;14;10;12;13.76;9.9;12.22
184;VANVES;7917;10;9;5;8;9.12;5.47;7.56
185;VEAUCHE;8066;10;11;10;11;11.17;9.77;10.56
186;VELIZY -DE GAULLE;7918;6;8;5;7;7.76;5.22;6.71
187;VENDOME -ST OUEN;7742;8;13;10;12;12.72;10.08;11.62
188;VERNOUILLET;7919;13;12;9;10;12.26;8.95;10.42
189;VERSAILLES;7920;10;11;7;10;11.38;6.96;9.71
190;VERVINS;7817;6;6;5;5;5.66;4.53;5.12
191;VIARMES;7818;7;12;9;11;11.85;9.04;10.64
192;VILLENEUVE LES AVIGN;7603;10;13;10;11;12.8;9.66;11.28
193;VILLERS BOCAGE -14;8075;16;16;12;14;16.48;11.87;13.92
194;VILLERS BOCAGE -80;7968;10;12;10;11;12.16;10.07;11.21
195;VILLERS S/S ST LEU;7819;11;11;9;10;11.3;9.16;10.32
196;VILLEVIEILLE;7625;10;12;10;11;11.72;9.59;10.73
197;VINCENNES;7730;8;9;6;8;8.94;5.86;7.66
198;VIZILLE;8067;10;10;8;9;10.19;8.28;9.32
199;VOIRON -COLOMBIER;8068;9;8;7;7;8.01;6.81;7.48
