;stodisplaydesc;stoanabelkey;real;max_round;min_round;avg_round;max;min;avg
135;PLOEMEUR -BRETAGNE;7718;10;12;8;10;11.56;8.17;10.22
136;PLUNERET -KERFONTAIN;7897;12;15;11;14;15.27;11.4;13.79
137;POIX DE PICARDIE;7898;10;12;9;10;11.55;9.3;10.39
138;PONT AUDEMER -LION;8632;13;16;12;14;15.61;12.03;14.02
139;PONTAULT COMBAULT;7901;5;9;7;8;9.17;7.12;8.39
140;PORNICHET;8095;8;12;10;11;12.3;9.53;11.15
141;PUISEUX PONTOISE;7928;16;13;11;12;13.23;10.96;12.13
142;QUIEVRECHAIN;7534;9;8;6;7;7.85;6.49;7.11
143;RAILLENCOURT;7988;7;9;7;8;9.34;6.99;8.32
144;REIMS -GAMBETTA;7762;6;10;7;9;9.88;6.98;8.7
145;RENNES -B L'EVEQUE;7440;9;8;6;7;8.41;5.89;7.37
146;RENNES -VILLEJEAN;8100;12;11;7;9;11.38;6.77;9.24
147;RIORGES;8048;8;9;7;8;8.66;6.76;7.81
148;RIVE DE GIER;8049;10;11;9;10;11.16;8.61;9.88
149;RIVES S/FURES;8050;8;10;9;9;10.26;8.58;9.47
150;ROUVROY;7905;10;13;10;12;12.54;10.09;11.52
151;RUE MOULINS;7989;8;11;9;10;11.04;9.1;10.28
152;RUEIL MALM -COLMAR;7567;12;11;8;9;10.56;8.09;9.07
153;SANCERRE;7746;10;9;7;8;8.79;7.03;8.02
154;SARLAT -BRIVE;7758;20;19;16;18;18.99;16.41;17.92
155;SASSENAGE;7759;9;9;7;8;8.51;6.88;7.66
156;SCIONZIER -LACS 161;8053;10;10;8;9;9.9;7.72;8.74
157;SETE;7604;5;12;10;11;12.15;9.63;10.99
158;SORBIERS;8054;9;14;11;13;13.86;10.8;12.61
159;SOTTEVILLE LES ROUEN;7517;10;11;8;10;11.12;7.55;9.75
160;ST AMAND -2;7740;10;14;11;12;13.65;10.76;12.33
161;ST AMBROIX;7907;10;13;11;12;12.91;10.97;11.81
162;ST CALAIS -PRESSOIR;8954;6;9;7;8;9.0;7.12;8.19
163;ST FONS;8057;6;9;6;7;8.53;6.08;7.39
164;ST GERMAIN EN LAYE;7808;5;9;6;8;8.91;5.92;7.59
165;ST GERMAIN PUY -FENE;7611;12;13;10;12;13.26;10.03;11.87
166;ST JEAN PIED DE PORT;8457;8;11;10;11;11.4;9.96;10.72
167;ST MAUR DES F -DELER;7909;12;13;9;11;12.63;8.94;10.55
168;ST NAZAIRE -VILLEPOR;8103;9;13;9;11;12.69;8.93;10.89
169;ST PIERRE LES NEMOUR;7810;11;12;10;11;12.12;10.26;11.25
170;ST POURCAIN S/SIOULE;7752;15;13;10;11;13.09;10.04;11.47
171;ST YORRE;7753;9;9;7;8;8.53;7.11;7.94
172;TAVERNY;7636;6;11;8;10;10.85;8.3;9.78
173;THIMERT GATELLES;8160;11;11;10;11;11.48;9.63;10.76
174;THIONVILLE;8945;7;10;6;8;9.63;6.2;7.57
175;TOULOUSE -COMPANS;7524;14;16;9;12;15.95;8.92;12.31
176;TOULOUSE -L'HERS;8397;12;12;9;10;12.03;9.0;10.2
177;TOULOUSE -LOMBEZ;7914;10;12;8;10;11.83;8.18;10.04
178;TOULOUSE -ST MICH 11;7931;10;11;7;9;11.35;7.22;9.27
179;TOURCOING;7723;6;8;6;7;8.37;5.94;7.45
180;TOURNEFEUILLE;7733;14;16;12;14;16.49;11.69;14.27
181;TOURNUS -RESISTANCE;7930;9;11;8;10;10.54;7.71;9.52
182;TRETS;8469;12;13;10;11;13.2;9.59;11.13
183;TREVOUX;8064;12;14;10;12;13.79;9.89;12.22
184;VANVES;7917;10;9;6;8;9.13;5.74;7.58
185;VEAUCHE;8066;10;11;10;11;11.15;9.73;10.56
186;VELIZY -DE GAULLE;7918;6;8;5;7;7.78;5.39;6.73
187;VENDOME -ST OUEN;7742;8;13;10;12;12.67;10.08;11.58
188;VERNOUILLET;7919;13;12;9;10;12.02;8.95;10.32
189;VERSAILLES;7920;10;11;7;10;11.39;6.94;9.72
190;VERVINS;7817;6;6;5;5;5.65;4.53;5.14
191;VIARMES;7818;7;12;9;11;11.88;8.99;10.63
192;VILLENEUVE LES AVIGN;7603;10;13;10;11;12.8;9.92;11.28
193;VILLERS BOCAGE -14;8075;16;17;12;14;16.5;11.85;13.93
194;VILLERS BOCAGE -80;7968;10;12;10;11;12.12;10.05;11.18
195;VILLERS S/S ST LEU;7819;11;11;9;10;11.28;9.4;10.36
196;VILLEVIEILLE;7625;10;12;10;11;11.69;9.72;10.7
197;VINCENNES;7730;8;9;6;8;8.97;5.85;7.66
198;VIZILLE;8067;10;10;8;9;10.19;8.26;9.32
199;VOIRON -COLOMBIER;8068;9;8;7;7;8.01;6.8;7.47
